entry_idx,exit_idx,entry_time,pnl,target,rsi,atr_pct,macd_hist,bb_width,dist_from_ema,rolling_corr_60,btc_ret_1m,nq_ret_1m,btc_nq_alignment,hour_sin,hour_cos,probability,signal
87,87,2024-01-02 07:29:00+00:00,0.6399999999994179,1,60.56140350877907,0.00011994103576709174,-0.13362747540667197,0.0008460938450251965,0.0003359241479329269,0.3098870692130259,-0.0009250033891558904,-7.115120877026274e-06,1.0,0.9271838545667874,-0.37460659341591207,0.5664186329399957,True
89,90,2024-01-02 07:31:00+00:00,0.47999999999956344,1,54.626202812730604,0.00012049890017754364,-0.44597890250616956,0.00047038832968921557,0.0002533918924430117,0.3161706548206244,-0.0011412451364174292,-2.253240515738947e-05,1.0,0.9238795325112868,-0.3826834323650895,0.6439554031943869,True
94,95,2024-01-02 07:36:00+00:00,-1.5200000000004366,0,44.16456759026444,0.00010872915064531092,-0.6366072184567297,0.00030629162550768974,0.00016594207171747937,0.2549639290713945,-0.001143321771324157,-6.0483261275958656e-05,1.0,0.9153114791194472,-0.40274668985873713,0.6708005421789835,True
96,96,2024-01-02 07:38:00+00:00,-1.5,0,43.19327731093156,0.00010613583726944116,-0.5625148252789576,0.0003062345823999871,0.00024091018713520118,0.2923059092599211,0.001469145461829033,0.00011978057635904985,1.0,0.9117620435770886,-0.4107188526134773,0.7927906700287949,True
100,100,2024-01-02 07:42:00+00:00,1.5,1,34.722222222228,0.00010772441223264834,-0.6225129779597649,0.00035857270762192675,2.240639629151757e-05,0.2853175671201808,-0.0006072353597558862,-0.00011089534959548781,1.0,0.904455145454368,-0.4265687399014584,0.7250278567189076,True
104,104,2024-01-02 07:46:00+00:00,-1.0,0,30.35714285714286,0.00011351339945386824,-0.9753235813800158,0.0005743555610531275,-0.00020436429334214483,0.2594845404288589,-0.0010428021805416621,-0.00010439806517172545,1.0,0.8968727415326884,-0.44228869021900113,0.7469841051464053,True
105,105,2024-01-02 07:47:00+00:00,2.1300000000010186,1,31.5308988763947,0.00011202374971285368,-0.9255047037786129,0.0005727909939983738,-0.00013936855028061267,0.2631078601974446,0.00038870814327880904,5.931841951364557e-05,1.0,0.894934361602025,-0.4461978131098088,0.8140164805046112,True
107,107,2024-01-02 07:49:00+00:00,-1.5200000000004366,0,42.20698254364132,0.00012051483599053674,-0.4500966407370098,0.0005422091592577991,6.659695253245211e-05,0.22739206031687398,0.0007403152499256529,8.18433009640486e-05,1.0,0.8910065241883679,-0.45399049973954675,0.7892633315321309,True
141,141,2024-01-02 08:23:00+00:00,-0.11000000000058208,0,66.97447039652712,0.00018197041065462467,0.15700857801639945,0.0005190874172327888,0.00043116559118853634,0.2637899200675683,-0.0008065307627313616,-6.518574530012417e-06,1.0,0.8141155183563192,-0.5807029557109398,0.6331128437386838,True
145,145,2024-01-02 08:27:00+00:00,-0.4000000000014552,0,64.33486238531918,0.00018029972416682558,0.30191218053262414,0.0006700823444323074,0.0004642881579256381,0.22806997547743552,-9.395918900455193e-05,-5.214165942020184e-05,1.0,0.8038568606172174,-0.5948227867513411,0.5543758551393133,True
